Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate
Cincinnati USA Convention & Visitors Bureau,2,12.0,1,1,1,1,0.0
Cincinnati USA Convention and Visitors Bureau,2,12.0,1,1,2,2,0.0
Cincinnati Vision Partners,2,17.25,2,2,2,2,0.0
Cincy Chic,2,17.0,2,1,1,1,0.0
CincyStateofBeing,1,15.0,1,1,1,1,0.0
CincyTech,10,15.8,6,1,4,3,0.0
Cindy Shetterly Team of Keller Williams,1,12.5,1,1,1,1,0.0
Cinfed Credit Union,1,20.0,1,1,1,1,0.0
Cintas,4,16.425,3,1,2,2,0.0
Cintas Corporation,33,18.85363636363636,9,1,6,2,0.0
Cintrifuse,10,14.440000000000001,6,1,6,3,0.0
Cintrifuse - Tesouro,1,17.0,1,1,1,1,0.0
Circana,2,18.5,2,2,2,1,0.0
Cisco,2,22.415,2,1,2,1,0.0
Citadel Self Storage,2,15.0,1,1,2,2,0.0
Citi,1,81.47,1,1,1,1,0.0
Citibank,1,125.0,1,1,1,1,0.0
Citizens,2,20.59,1,1,2,1,0.0
City Wide Facility Solutions (Cincinnati & Dayton),1,17.0,1,1,1,1,0.0
City of Centerville,1,16.0,1,1,1,1,0.0
City of Cincinnati,1,20.0,1,1,1,1,0.0
City of Cincinnati Department of Community and Economic Development,1,17.0,1,1,1,1,0.0
City of Cincinnati Police Department,4,17.0,1,1,2,3,0.0
City of Washington Court House,1,17.0,1,1,1,1,0.0
City of Wyoming,2,13.5,1,1,1,2,0.0
Citywide Ready Mix,1,16.0,1,1,1,1,0.0
Civil Solutions,1,20.0,1,1,1,1,0.0
ClaimLinx,4,17.5,3,1,2,3,0.0
"Claritas, LLC",6,15.0,3,1,2,3,0.0
"Clark Associates, Inc",1,18.75,1,1,1,1,0.0
Clark Schaefer Hackett,53,23.90566037735849,8,2,6,2,0.0
"ClarkDietrich Building Systems, LLC",1,15.0,1,1,1,1,0.0
Clay Heinley - Campus Recreation Center (University of Cincinnati),1,9.5,1,1,1,1,0.0
Clean Harbors,1,15.0,1,1,1,1,0.0
Clear Packaging,1,15.0,1,1,1,1,0.0
Clear Path Counseling,1,17.0,1,1,1,1,0.0
ClearDefense Pest Control,1,16.0,1,1,1,1,0.0
Clermont County Convention and Visitors Bureau,2,14.0,1,1,1,2,0.0
Cleveland Browns,1,12.0,1,1,1,1,0.0
Cleveland Clinic,2,15.5,2,1,2,1,0.0
"Cleveland Construction, Inc",1,16.0,1,1,1,1,0.0
Cleveland Guardians,1,17.0,1,1,1,1,0.0
Cleveland Kitchen,1,17.0,1,1,1,1,0.0
Cleveland Metroparks,2,15.0,1,1,2,1,0.0
Cleveland Sight Center,1,12.88,1,1,1,1,0.0
Clifton Larson Allen,4,23.75,2,1,3,1,0.0
Clippard,1,18.0,1,1,1,1,0.0
Clopay Building Products,2,14.0,2,1,2,1,0.0
Clous Road Partners,1,17.0,1,1,1,1,0.0
Cloverleaf,7,16.285714285714285,3,1,3,3,0.0
Cloverleafme,1,17.0,1,1,1,1,0.0
CoMarket Digital,1,18.0,1,1,1,1,0.0
Coastal Cloud,1,15.0,1,1,1,1,0.0
Coesia,4,18.75,3,1,3,3,0.0
Cohear,1,13.75,1,1,1,1,0.0
Cohen & Company,2,22.5,1,1,1,1,0.0
Cohen & Company CPA LLC,1,23.0,1,1,1,1,0.0
Cohen Recycling,1,14.0,1,1,1,1,0.0
Cohen USA,1,17.0,1,1,1,1,0.0
Cohen and Company,1,24.0,1,1,1,1,0.0
ColdIron Enterprises Inc,1,12.0,1,1,1,1,0.0
ColdIron Event Rentals,3,12.0,1,1,2,2,0.0
Colgate-Palmolive Company,1,21.0,1,1,1,1,0.0
College Nannies and Tutors,1,14.0,1,1,1,1,0.0
College Works Painting,2,13.335,1,1,1,2,0.0
College of Business EEP,1,17.0,1,1,1,1,0.0
College of Engineering and Applied Sciences University of Cincinnati,3,17.0,1,1,1,3,0.0
Colliers Cincinnati,1,17.0,1,1,1,1,0.0
Colliers Columbus,1,13.0,1,1,1,1,0.0
Colliers Greater Cincinnati,2,14.5,2,1,2,2,0.0
Colliers International,9,13.11111111111111,4,1,3,3,0.0
Colliers International - Cincinnati,1,15.0,1,1,1,1,0.0
Colliers International | Cincinnati,2,12.0,2,1,1,1,0.0
Colliers | Cincinnati,2,15.0,1,1,1,1,0.0
"Colony Brands, Inc",1,15.0,1,1,1,1,0.0
Columbia Sussex Hotel Corporation,2,17.44,1,1,2,2,0.0
ComStock Advisors,1,16.0,1,1,1,1,0.0
Comcast - Central Division,1,16.0,1,1,1,1,0.0
Comedy Central,1,15.0,1,1,1,1,0.0
Comey & Shepherd,1,17.0,1,1,1,1,0.0
Command Group,1,15.0,1,1,1,1,0.0
Common Purpose US,1,17.0,1,1,1,1,0.0
Commonwealth Hotels LLC,1,12.0,1,1,1,1,0.0
Community First Solutions,1,12.88,1,1,1,1,0.0
Complete Research Connection,2,10.625,1,1,2,2,0.0
ComptonAddy,2,17.0,1,1,1,2,0.0
Conagra Brands,1,18.0,1,1,1,1,0.0
Conduent,1,14.25,1,1,1,1,0.0
Conquer Employment,1,25.0,1,1,1,1,0.0
Conservative Financial Solutions,3,15.333333333333334,2,2,2,1,0.0
Constellation Insurance,7,17.785714285714285,4,1,3,3,0.0
Constellation Insurance Inc,1,18.0,1,1,1,1,0.0
ConstructConnect,1,17.0,1,1,1,1,0.0
"Consultant (self employed, working at CinRx)",1,18.0,1,1,1,1,0.0
Contech Engineered Solutions,1,15.0,1,1,1,1,0.0
"ControlTouch Systems, LLC",1,15.5,1,1,1,1,0.0
Convergence Research,18,17.0,5,2,5,3,0.0
Conveyer and Caster,1,17.0,1,1,1,1,0.0
Cooper Tire & Rubber Company,2,19.475,2,1,2,2,0.0
CoorFab,1,15.5,1,1,1,1,0.0
Copeland,11,18.0,5,1,2,3,0.0
Copeland Corporation,1,17.0,1,1,1,1,0.0
Copeland LP,1,17.0,1,1,1,1,0.0
Copper Run Capital,1,15.0,1,1,1,1,0.0
"Corbus, LLC",4,14.75,2,1,2,2,0.0
Core Specialty Insurance,3,18.0,2,1,1,1,0.0
Core5 Industrial Partners,1,17.0,1,1,1,1,0.0
Core5 Industrial Partners LLC,1,18.0,1,1,1,1,0.0
Corken Steel Products,1,15.0,1,1,1,1,0.0
"Cornerstone Broker Insurance Services Agency, Inc",2,18.0,1,1,2,2,0.0
Cornovus Capital,10,17.3,3,1,4,3,0.0
Corporation for Findlay Market,2,10.5,1,1,1,2,0.0
Costco Wholesale,1,17.3,1,1,1,1,0.0
Coterie,2,19.5,2,2,2,1,0.0
Coterie Insurance,3,17.0,2,1,2,2,0.0
Courtenay Lambert Floral & Event Design,1,15.0,1,1,1,1,0.0
"Craig Capital Wealth Management, Raymond James",1,15.0,1,1,1,1,0.0
Crane ChemPharma & Energy,17,20.470588235294116,5,1,6,3,0.0
Crane Co,2,18.0,1,1,1,2,0.0
Crane Pump,1,17.0,1,1,1,1,0.0
Crane Pumps & Systems,1,18.0,1,1,1,1,0.0
CreITive,1,12.5,1,1,1,1,0.0
Credit Suisse,1,48.08,1,1,1,1,0.0
Cremer North America,1,18.0,1,1,1,1,0.0
"Cristo Homes, Inc",1,18.0,1,1,1,1,0.0
Crooked Media,1,15.0,1,1,1,1,0.0
Cross border e-commerce,1,42.5,1,1,1,1,0.0
"CrossCountry Mortgage, LLC",1,13.0,1,1,1,1,0.0
Crossroads Church,2,20.0,2,1,2,2,0.0
Crossroads Community Church,1,17.3,1,1,1,1,0.0
Crothall Healthcare,1,16.0,1,1,1,1,0.0
"CrowdStrike, Inc",1,18.0,1,1,1,1,0.0
Crowe LLP,2,23.0,2,1,1,1,0.0
Crown,1,23.5,1,1,1,1,0.0
Crown Castle,1,20.0,1,1,1,1,0.0
Crown Equipment,4,18.25,3,2,2,3,0.0
Crown Equipment Corporation,11,16.227272727272727,6,1,5,2,0.0
Crown Lift Trucks,2,18.0,2,1,1,1,0.0
Cummin-Meritor Inc,1,17.0,1,1,1,1,0.0
Cummins,1,17.0,1,1,1,1,0.0
Cummins Drivetrain and Braking Systems,1,17.0,1,1,1,1,0.0
Cummins Inc,15,24.838666666666665,7,2,5,3,0.0
Cummins-Meritor,2,17.0,2,1,2,2,0.0
Curiosity Advertising,7,15.428571428571429,3,1,3,3,0.0
Curriculum Associates Inc,1,21.0,1,1,1,1,0.0
Cushman & Wakefield,2,13.25,1,1,1,1,0.0
Cushman & Wakefield. Inc,2,13.0,1,1,1,2,0.0
Custom Media KK,1,17.0,1,1,1,1,0.0
Custom Pro Logistics LLC,6,13.333333333333334,3,1,2,2,0.0
Cuyahoga County,1,16.0,1,1,1,1,0.0
Cvent Inc,1,18.0,1,1,1,1,0.0
Cyanna Education Services,1,15.0,1,1,1,1,0.0
"D&G Dealer Services, LLC",1,18.0,1,1,1,1,0.0
"D.R. Horton, Inc",4,16.0,2,1,3,2,0.0
DAAP,1,15.0,1,1,1,1,0.0
DERMALA Inc,1,9.8,1,1,1,1,0.0
DG Agency,1,17.0,1,1,1,1,0.0
DHL,2,17.5,2,1,2,2,0.0
DHL Express,5,17.6,3,1,2,2,0.0
DHL Supply Chain,1,15.0,1,1,1,1,0.0
DIRA Partners,1,62.5,1,1,1,1,0.0
DLAK Wealth Advisors,4,15.375,1,1,2,2,0.0
DLM Communications,2,17.5,1,1,2,2,0.0
DLM Plastics,1,17.0,1,1,1,1,0.0
"DMAX, Ltd",3,18.0,1,1,2,2,0.0
"DMC Insurance, Inc",1,20.0,1,1,1,1,0.0
DMG,1,17.0,1,1,1,1,0.0
DONOHOO ACCOUNTING SERVICES INC,4,23.0,1,1,2,3,0.0
"DOZ, LLC",4,24.0,1,1,3,1,0.0
DRIVENOPTICS,2,13.0,2,1,2,2,0.0
DXC Technology,2,20.5,1,1,1,2,0.0
Dalingerunwenhuafazhangyouxiangongshi,2,17.0,1,1,2,2,0.0
"Dan Beard Council, Boy Scouts of America",1,4.67,1,1,1,1,0.0
Dana Incorporated,2,18.7,2,1,1,1,0.0
Danielle Nelson,1,15.0,1,1,1,1,0.0
Danis Building Construction,2,18.75,1,1,2,2,0.0
Danis Construction,2,16.5,1,1,1,2,0.0
Data plus Science LLC,1,15.0,1,1,1,1,0.0
Dauby O'Connor & Zalenski,1,25.0,1,1,1,1,0.0
"Dauby Oâ€™Connor and Zaleski, LLC",1,21.0,1,1,1,1,0.0
David and CO,1,16.67,1,1,1,1,0.0
Dayton Dragons Professional Baseball Team,2,8.7,1,1,1,2,0.0
Dayton Freight,4,17.697499999999998,1,1,4,2,0.0
Dayton Freight Lines,1,15.0,1,1,1,1,0.0
Dayton Superior,1,19.0,1,1,1,1,0.0
DeSalvo & Company,3,18.666666666666668,1,1,3,2,0.0
Dean Dorton,7,21.785714285714285,3,2,3,2,0.0
DeanHouston,1,10.0,1,1,1,1,0.0
"DeanHouston, Inc",2,13.5,1,1,2,1,0.0
Deb Siefkin,1,15.0,1,1,1,1,0.0
Deceuninck,2,18.5,2,1,2,2,0.0
Deceuninck North America,1,17.0,1,1,1,1,0.0
Decyl Inc,1,17.0,1,1,1,1,0.0
Deer Park High School,1,12.0,1,1,1,1,0.0
Deer Park Roofing,2,17.5,1,1,1,1,0.0
Deer Valley Resort,4,14.375,4,1,2,1,0.0
Defense Finance and Accounting Service (DFAS),4,16.2,2,1,3,3,0.0
Delaware North,16,16.375,6,2,5,2,0.0
"Delev & Associates, LLC",2,16.0,2,1,1,1,0.0
Dell EMC,1,23.5,1,1,1,1,0.0
Dell Technologies,2,22.25,2,1,2,1,0.0
Deloitte,71,24.85830985915493,11,2,7,3,0.0
Deloitte & Touche,1,17.0,1,1,1,1,0.0
Deloitte LLP,2,26.94,2,1,1,1,0.0
Deloitte Tax,1,25.0,1,1,1,1,0.0
Deloitte Tax LLP,2,24.46,2,1,2,1,0.0
Deloitte Touche Tohmatsu,3,26.28,1,1,1,2,0.0
Delta,2,16.0,1,1,2,1,0.0
Delta Air Lines,8,16.75,4,1,5,3,0.0
"Delta Air Lines, Inc",76,17.07434210526316,13,2,7,3,0.0
Delta Airline,1,15.0,1,1,1,1,0.0
Delta Airlines,7,16.714285714285715,7,1,3,2,0.0
Delta Cargo,1,4.33,1,1,1,1,0.0
Delta Private Jets,1,15.0,1,1,1,1,0.0
Dencar Technology,1,18.0,1,1,1,1,0.0
Department of Air Force - AFLCMC (Wright-Patterson AFB),1,62.13,1,1,1,1,0.0
Dermatologists of Central States,1,12.0,1,1,1,1,0.0
Design B&B,1,18.75,1,1,1,1,0.0
Destination Cleveland,1,37.5,1,1,1,1,0.0
Destination Israel,1,17.0,1,1,1,1,0.0
Dharma Hotel,1,18.0,1,1,1,1,0.0
Diabetic Wound Management,1,17.0,1,1,1,1,0.0
Diamond Hill Capital Management,1,30.0,1,1,1,1,0.0
Dick's Sporting Goods,2,14.65,1,1,2,2,0.0
Didion Milling,2,19.5,1,1,1,1,0.0
Digital Philanthropy Center,1,11.0,1,1,1,1,0.0
Dillard's,1,17.3,1,1,1,1,0.0
"Dillards, Inc",1,17.0,1,1,1,1,0.0
Dinsmore & Shohl LLP,1,19.0,1,1,1,1,0.0
"Direct Recruiters, Inc. (DRI)",1,17.0,1,1,1,1,0.0
Directions Research,1,17.0,1,1,1,1,0.0
Distinguished Properties LLC,1,17.0,1,1,1,1,0.0
DistrictWON,1,17.0,1,1,1,1,0.0
Divisions Maintenance Group,54,14.944444444444445,12,1,4,3,0.0
Dominion Energy,1,19.0,1,1,1,1,0.0
Donaldson capital management,1,17.0,1,1,1,1,0.0
Doosan Infracore Portable Power,3,22.0,1,1,1,3,0.0
Down Syndrome Association of Greater Cincinnati,1,17.0,1,1,1,1,0.0
Downtown Dayton Partnership,1,11.0,1,1,1,1,0.0
Dr. Gen Orthodontics,1,16.0,1,1,1,1,0.0
Drees Homes,1,12.5,1,1,1,1,0.0
Dresner Partners,1,25.0,1,1,1,1,0.0
Drive Associates,1,18.0,1,1,1,1,0.0
Drunken Tacos,1,7.25,1,1,1,1,0.0
Dsigns Workspace Innovations,1,17.0,1,1,1,1,0.0
DuBois Chemicals,1,18.0,1,1,1,1,0.0
"DuCharme, McMillen & Associates",1,20.0,1,1,1,1,0.0
Dublin Youth Athletics,2,14.0,1,1,1,1,0.0
Dueblin company,1,17.0,1,1,1,1,0.0
Duffy Trading Company,3,18.0,1,1,2,3,0.0
Duke Energy,2,22.955,1,1,2,2,0.0
Dynamic BDC,1,17.0,1,1,1,1,0.0
E & J Gallo Winery,1,24.0,1,1,1,1,0.0
E Tech Group,1,15.5,1,1,1,1,0.0
E. & J. Gallo Winery,1,22.0,1,1,1,1,0.0
E. W. Scripps,1,15.0,1,1,1,1,0.0
"EAC Consulting, Inc",1,13.0,1,1,1,1,0.0
ECP Business Capital,2,18.865000000000002,2,1,2,2,0.0
EEP,1,17.0,1,1,1,1,0.0
EMCOR,4,15.0,3,1,2,2,0.0
EMCOR Facilities Services,22,15.409090909090908,9,3,5,3,0.0
EMCOR Group,1,16.0,1,1,1,1,0.0
EMCOR Mesa Energy Systems,1,15.0,1,1,1,1,0.0
EMI Research Solutions,3,14.0,1,1,2,2,0.0
ERA Real Solutions Realty,3,14.0,2,1,3,2,0.0
ERIEBANK,1,17.0,1,1,1,1,0.0
ES Properties,7,12.571428571428571,2,1,3,3,0.0
EST Analytical,2,15.0,1,1,2,2,0.0
EVEREVE,1,17.3,1,1,1,1,0.0
EVERTRUST,1,3.75,1,1,1,1,0.0
EXPR,1,17.0,1,1,1,1,0.0
EY,50,23.5306,12,3,7,3,0.0
EY LLP,22,23.027272727272727,3,1,5,3,0.0
EY-Parthenon,2,20.0,2,1,2,1,0.0
Eagle Concrete Construction LLC of Ohio,1,20.0,1,1,1,1,0.0
Eagle Real Estate Group,1,19.0,1,1,1,1,0.0
Eagle Realty,1,17.0,1,1,1,1,0.0
Eagle Realty Group,5,17.8,1,1,4,2,0.0
Eagles Composite,1,17.0,1,1,1,1,0.0
Eastside auto spa,1,17.0,1,1,1,1,0.0
Easy Way Products Co,5,18.0,2,1,2,3,0.0
EasyWay Products,1,17.0,1,1,1,1,0.0
Easyfind Company,1,17.0,1,1,1,1,0.0
Eaton,2,12.15,1,1,2,1,0.0
EcoDevelopment,1,16.5,1,1,1,1,0.0
Ecolab,1,18.0,1,1,1,1,0.0
Economic and Community DEvelopment Institute,1,15.0,1,1,1,1,0.0
Economic and Community Development Institute,2,15.0,1,1,1,2,0.0
Ecquitas Private Limited,1,22.5,1,1,1,1,0.0
Edge Real Estate Group,1,17.0,1,1,1,1,0.0
Education at Work,17,11.83235294117647,6,1,5,3,0.0
Eduvantis LLC,2,21.5,1,1,1,2,0.0
Edward Jones Investments,1,16.0,1,1,1,1,0.0
Edwards Lifesciences,2,24.5,1,1,2,1,0.0
Eisert Wealth Management,1,17.0,1,1,1,1,0.0
Electrada LLC,2,15.0,2,1,1,2,0.0
Electronauts LLC,1,18.0,1,1,1,1,0.0
Electronic Arts,1,26.0,1,1,1,1,0.0
Eleeo Brands LLC,12,17.25,5,2,6,3,0.0
Elevance Health,1,19.46,1,1,1,1,0.0
"Elevance Health (formerly Anthem, Inc.)",7,17.142857142857142,4,1,4,2,0.0
Eli Lilly,1,17.0,1,1,1,1,0.0
Eli Lilly and Company,4,19.445,2,1,3,2,0.0
Embellished Occasions LLC,1,50.0,1,1,1,1,0.0
Emen,1,17.0,1,1,1,1,0.0
Emerald Capital Partners,1,16.0,1,1,1,1,0.0
Emerson,23,18.875652173913043,6,2,4,3,0.0
Emerson Climate Technologies,6,16.916666666666668,4,1,3,2,0.0
Emerson Commercial and Residential Solutions,1,17.8,1,1,1,1,0.0
Emerson Electric Co,1,20.0,1,1,1,1,0.0
Emerson Global,1,16.5,1,1,1,1,0.0
Emerson Technologies,1,17.5,1,1,1,1,0.0
Emerson- Commercial & Residential Solutions,1,17.5,1,1,1,1,0.0
Emery Federal Credit Union,1,17.0,1,1,1,1,0.0
Emory Healthcare,1,20.43,1,1,1,1,0.0
Emory Healthcare Winship Cancer Institute,1,18.43,1,1,1,1,0.0
Emory University,2,13.75,1,1,2,1,0.0
Empire Marketing Strategies,8,16.4875,3,1,5,2,0.0
Empower,7,19.857142857142858,3,3,2,3,0.0
Empowered Acquisitions,1,17.0,1,1,1,1,0.0
Encore Funding,1,17.0,1,1,1,1,0.0
Encore Label & Packaging,1,16.0,1,1,1,1,0.0
Encore Land and Sea,1,17.0,1,1,1,1,0.0
Encore Talent Solutions,2,15.4,1,1,1,2,0.0
Encore Technologies,2,15.5,2,2,2,1,0.0
Encova Insurance,2,17.25,2,1,2,1,0.0
Enerfab,19,15.947368421052632,8,1,6,3,0.0
Enervise,1,15.0,1,1,1,1,0.0
Enervise LLC,1,15.0,1,1,1,1,0.0
Engine Insights,2,18.0,1,1,2,2,0.0
Enrollment Management Services,2,11.5,1,1,1,2,0.0
Ensemble Health Partners,1,15.0,1,1,1,1,0.0
Ensign-Bickford Aerospace and Defense,1,25.0,1,1,1,1,0.0
Enterprise Holdings,1,17.3,1,1,1,1,0.0
Enterprise Risk Management,1,17.0,1,1,1,1,0.0
Entervise,1,15.0,1,1,1,1,0.0
Equitable Advisors,4,13.75,1,1,2,2,0.0
Equity 360,1,14.0,1,1,1,1,0.0
Erie Insurance Group,1,12.0,1,1,1,1,0.0
Ernst & Young,14,17.59714285714286,3,1,5,3,0.0
Ernst & Young LLP,1,6.83,1,1,1,1,0.0
Ernst & Young LLP (EY),4,18.055,3,1,1,2,0.0
Ernst & Young LLP - EY,4,15.125,2,2,1,2,0.0
"Ernst & Young, LLP",1,22.5,1,1,1,1,0.0
Ernst and Young,10,21.407,3,2,5,3,0.0
Essent Guaranty,1,15.0,1,1,1,1,0.0
EssilorLuxottica,13,17.56153846153846,5,1,4,3,0.0
EssilorLuxottica - EyeMed,1,17.0,1,1,1,1,0.0
Etegent Technologies,3,20.25,2,1,1,3,0.0
European Innovation Academy,10,14.3,6,2,2,1,0.0
Eurostampa North America,1,18.0,1,1,1,1,0.0
Evercore,1,15.0,1,1,1,1,0.0
"Evergreen Advisors, Inc",1,15.0,1,1,1,1,0.0
Everything But The House,4,15.0,2,1,3,3,0.0
Evil Geniuses,3,13.0,1,1,2,3,0.0
Evolution Parking & Guest Services,1,17.0,1,1,1,1,0.0
Exces International,1,17.0,1,1,1,1,0.0
Executive Jet Management,3,18.0,2,1,3,2,0.0
Executive Office of the President,1,17.0,1,1,1,1,0.0
Express,3,19.266666666666666,3,1,3,1,0.0
EyeMed,15,16.2,5,1,5,3,0.0
EyeMed Vision Care,4,17.0,2,1,3,1,0.0
"F&M MAFCO, Inc",2,13.5,2,1,2,1,0.0
F. L. Emmert Company,1,17.0,1,1,1,1,0.0
F.L. Emmert Company,2,17.0,1,1,2,2,0.0
FC Cincinnati,13,12.692307692307692,5,2,6,3,0.0
FDIC,1,17.0,1,1,1,1,0.0
FEG,1,17.0,1,1,1,1,0.0
FF&S,1,13.0,1,1,1,1,0.0
FFE Inc,1,28.0,1,1,1,1,0.0
FICO,1,36.0,1,1,1,1,0.0
FIS,1,18.0,1,1,1,1,0.0
FIT Financial,1,25.0,1,1,1,1,0.0
FLHB,1,22.0,1,1,1,1,0.0
FM,2,16.25,1,2,1,2,0.0
FM Global,1,18.0,1,1,1,1,0.0
FORVIS,5,25.4,3,1,1,2,0.0
"FORVIS, LLP",4,23.0,3,1,1,2,0.0
FOX Sports Cincinnati,3,17.333333333333332,1,1,2,2,0.0
FPT IS,1,17.0,1,1,1,1,0.0
FPT Software,1,18.0,1,1,1,1,0.0
"FRCH Design Worldwide, a NELSON Company",1,15.5,1,1,1,1,0.0
FRCH Nelson,1,16.0,1,1,1,1,0.0
FREDONIA - Disney College Program - Student Representative,1,17.0,1,1,1,1,0.0
FTI Consulting,1,20.0,1,1,1,1,0.0
Facebook,1,23.0,1,1,1,1,0.0
Fairbanks Morse Defense,1,20.25,1,1,1,1,0.0
Fairborn Equipment Midwest,1,15.0,1,1,1,1,0.0
"Faith Community Pharmacy, Inc",1,12.5,1,1,1,1,0.0
Family Choice Surrogacy,1,13.0,1,1,1,1,0.0
"Family Wealth Advisory Group, LLC",1,20.0,1,1,1,1,0.0
FanGate Solutions,1,12.0,1,1,1,1,0.0
Fastenal,3,16.0,2,1,3,3,0.0
Fastenal Company,12,15.791666666666666,6,1,3,3,0.0
Fasto Real Estate Solutions,1,17.0,1,1,1,1,0.0
Faurecia,1,20.5,1,1,1,1,0.0
Faurecia North America,3,19.333333333333332,2,1,2,2,0.0
FedEx Freight,1,22.0,1,1,1,1,0.0
Fedders Construction,3,15.0,1,1,2,2,0.0
Federal Eagle,1,18.0,1,1,1,1,0.0
Federal Home Loan Bank of Cincinnati,3,16.333333333333332,3,1,2,1,0.0
Federal Home loan bank of Cincinnati,1,22.0,1,1,1,1,0.0
Federal Reserve Bank of Cleveland,2,19.625,1,1,2,1,0.0
Federal Reserve Bank of Dallas,1,20.0,1,1,1,1,0.0
Federal Reserve Bank of New York,1,30.0,1,1,1,1,0.0
Federal Reserve Bank of Richmond,1,19.0,1,1,1,1,0.0
Feldkamp Marketing,1,27.73,1,1,1,1,0.0
Feminist Majority Foundation,1,15.0,1,1,1,1,0.0
Ferguson Construction Company,1,16.0,1,1,1,1,0.0
"Ferno-Washington, Inc",1,15.0,1,1,1,1,0.0
Festo,5,16.4,1,1,2,3,0.0
Festo Corporation,13,23.563846153846153,5,2,3,3,0.0
Fidant Wealth Partners,1,14.0,1,1,1,1,0.0
Fidant Wealth Partners of Ameriprise Financial,14,15.285714285714286,6,2,5,3,0.0
Fidelity,5,42.4,2,1,3,3,0.0
Fidelity Investments,50,18.8632,13,2,6,3,0.0
Field Aerospace,1,20.0,1,1,1,1,0.0
Fifth Third,1,18.0,1,1,1,1,0.0
Fifth Third Bank,124,22.543225806451613,15,2,7,3,0.0
Figure 8,1,15.0,1,1,1,1,0.0
Fillpoint Health,1,17.0,1,1,1,1,0.0
"Fin Pan, Inc",1,18.0,1,1,1,1,0.0
Finix Payments,1,15.0,1,1,1,1,0.0
"Finix Payments, Inc",1,15.0,1,1,1,1,0.0
"Fireside Business Solutions, Inc",1,15.0,1,1,1,1,0.0
Firestone Country Club,1,16.0,1,1,1,1,0.0
"First Federal Community Bank (Bucyrus, OH)",1,17.0,1,1,1,1,0.0
First Financial Bank,41,17.46439024390244,8,3,7,3,0.0
First Group,2,15.5,1,1,1,1,0.0
First Group America- Transportation,1,19.0,1,1,1,1,0.0
First Light Home Care,1,16.0,1,1,1,1,0.0
First Merchants Bank,1,12.0,1,1,1,1,0.0
First Mutual Holding Co,1,17.0,1,1,1,1,0.0
First Mutual Holding Company,3,15.666666666666666,2,1,2,2,0.0
First National Bank,1,17.0,1,1,1,1,0.0
First Responder Financial Advisors,2,17.0,1,1,2,1,0.0
First Star Logistics,4,15.75,1,2,3,2,0.0
First State Bank,3,16.53,2,3,3,1,0.0
First Student,8,15.875,3,1,3,3,0.0
FirstGroup,4,16.25,3,1,2,2,0.0
Fischer Homes,59,17.940677966101696,14,3,7,3,0.0
Fit4Kidz,1,17.0,1,1,1,1,0.0
Fitch Group,1,30.0,1,1,1,1,0.0
Fives North American Combustion Inc,1,13.0,1,1,1,1,0.0
Flag football fanatics,1,20.0,1,1,1,1,0.0
Flagel Huber Flagel,15,22.133333333333333,6,1,4,2,0.0
Fleet Feet Inc,1,11.0,1,1,1,1,0.0
Fleet Response,2,14.5,2,1,2,1,0.0
Flipside Products,1,12.0,1,1,1,1,0.0
Florence Y'alls,7,11.0,3,1,3,1,0.0
Flow Dry Technology,1,18.0,1,1,1,1,0.0
Fluor-BWXT Portsmouth LLC,1,18.27,1,1,1,1,0.0
Flynn & Company,1,17.0,1,1,1,1,0.0
Flynn & Company CPA,1,17.0,1,1,1,1,0.0
"Flynn & Company, Inc. CPAs & Business Consultants",65,20.953846153846154,7,2,5,3,0.0
Flynn and Company,2,17.0,2,1,1,2,0.0
Flywheel Social Enterprise Hub,3,11.626666666666667,2,1,3,2,0.0
Folk Williams Financial Management,2,20.59,1,1,2,1,0.0
Fontaine Trailer,1,20.0,1,1,1,1,0.0
Ford,1,20.77,1,1,1,1,0.0
Ford Motor Credit Company,1,20.77,1,1,1,1,0.0
Formica,1,15.0,1,1,1,1,0.0
Formica Corporation,2,18.0,1,1,1,2,0.0
Formidable Asset Management,2,19.0,1,2,2,1,0.0
Fort Washington Investment Advisors,1,18.0,1,1,1,1,0.0
Fort Wayne Metals,1,17.0,1,1,1,1,0.0
Fortner Inc,1,17.0,1,1,1,1,0.0
Forvia Faurecia,1,18.0,1,1,1,1,0.0
Forvis Mazars,3,24.666666666666668,2,1,2,1,0.0
ForvisMazars,1,28.0,1,1,1,1,0.0
Forward Edge,20,15.05,2,1,6,3,0.0
Foster & Motley Inc,4,17.5,2,1,1,2,0.0
Foster and Motley Inc,1,19.0,1,1,1,1,0.0
Foundation Software,1,18.0,1,1,1,1,0.0
Four Facets,3,22.333333333333332,2,2,2,2,0.0
Four Seasons Swim Club,1,12.0,1,1,1,1,0.0
Foxy Moron,1,17.0,1,1,1,1,0.0
Frame USA,1,11.0,1,1,1,1,0.0
Fran Hauser,1,15.0,1,1,1,1,0.0
Freddie Mac,1,21.0,1,1,1,1,0.0
Freedom Solar Pros,1,17.0,1,1,1,1,0.0
Fresh Encounter Inc,1,17.0,1,1,1,1,0.0
Fresh Prints,2,18.5,1,1,2,2,0.0
Friends of Music Hall,1,17.0,1,1,1,1,0.0
FriesLandCampina VietNam,1,17.0,1,1,1,1,0.0
Frisch's,1,12.0,1,1,1,1,0.0
"Frisch's Restaurants, Inc",1,14.0,1,1,1,1,0.0
