Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate,Cluster_Tier,Tier_Name
Deceuninck North America,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Decyl Inc,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Deer Park High School,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Deer Park Roofing,2,17.5,1,1,1,1,0.0,1,Low-Engagement Employers
Deer Valley Resort,4,14.375,4,1,2,1,0.0,1,Low-Engagement Employers
Defense Finance and Accounting Service (DFAS),4,16.2,2,1,3,3,0.0,2,Core Relationship Employers
Delaware North,16,16.375,6,2,5,2,0.0,0,Strategic High-Volume Partners
"Delev & Associates, LLC",2,16.0,2,1,1,1,0.0,1,Low-Engagement Employers
Dell EMC,1,23.5,1,1,1,1,0.0,1,Low-Engagement Employers
Dell Technologies,2,22.25,2,1,2,1,0.0,1,Low-Engagement Employers
Deloitte,71,24.85830985915493,11,2,7,3,0.0,0,Strategic High-Volume Partners
Deloitte & Touche,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Deloitte LLP,2,26.94,2,1,1,1,0.0,1,Low-Engagement Employers
Deloitte Tax,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Deloitte Tax LLP,2,24.46,2,1,2,1,0.0,1,Low-Engagement Employers
Deloitte Touche Tohmatsu,3,26.28,1,1,1,2,0.0,1,Low-Engagement Employers
Delta,2,16.0,1,1,2,1,0.0,1,Low-Engagement Employers
Delta Air Lines,8,16.75,4,1,5,3,0.0,2,Core Relationship Employers
"Delta Air Lines, Inc",76,17.07434210526316,13,2,7,3,0.0,0,Strategic High-Volume Partners
Delta Airline,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Delta Airlines,7,16.714285714285715,7,1,3,2,0.0,2,Core Relationship Employers
Delta Cargo,1,4.33,1,1,1,1,0.0,1,Low-Engagement Employers
Delta Private Jets,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dencar Technology,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Department of Air Force - AFLCMC (Wright-Patterson AFB),1,62.13,1,1,1,1,0.0,1,Low-Engagement Employers
Dermatologists of Central States,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Design B&B,1,18.75,1,1,1,1,0.0,1,Low-Engagement Employers
Destination Cleveland,1,37.5,1,1,1,1,0.0,1,Low-Engagement Employers
Destination Israel,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dharma Hotel,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Diabetic Wound Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Diamond Hill Capital Management,1,30.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dick's Sporting Goods,2,14.65,1,1,2,2,0.0,2,Core Relationship Employers
Didion Milling,2,19.5,1,1,1,1,0.0,1,Low-Engagement Employers
Digital Philanthropy Center,1,11.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dillard's,1,17.3,1,1,1,1,0.0,1,Low-Engagement Employers
"Dillards, Inc",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dinsmore & Shohl LLP,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Direct Recruiters, Inc. (DRI)",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Directions Research,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Distinguished Properties LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
DistrictWON,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Divisions Maintenance Group,54,14.944444444444445,12,1,4,3,0.0,0,Strategic High-Volume Partners
Dominion Energy,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
Donaldson capital management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Doosan Infracore Portable Power,3,22.0,1,1,1,3,0.0,2,Core Relationship Employers
Down Syndrome Association of Greater Cincinnati,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Downtown Dayton Partnership,1,11.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dr. Gen Orthodontics,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Drees Homes,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Dresner Partners,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Drive Associates,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Drunken Tacos,1,7.25,1,1,1,1,0.0,1,Low-Engagement Employers
Dsigns Workspace Innovations,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
DuBois Chemicals,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
"DuCharme, McMillen & Associates",1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dublin Youth Athletics,2,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Dueblin company,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Duffy Trading Company,3,18.0,1,1,2,3,0.0,2,Core Relationship Employers
Duke Energy,2,22.955,1,1,2,2,0.0,2,Core Relationship Employers
Dynamic BDC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
E & J Gallo Winery,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
E Tech Group,1,15.5,1,1,1,1,0.0,1,Low-Engagement Employers
E. & J. Gallo Winery,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
E. W. Scripps,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"EAC Consulting, Inc",1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
ECP Business Capital,2,18.865000000000002,2,1,2,2,0.0,2,Core Relationship Employers
EEP,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
EMCOR,4,15.0,3,1,2,2,0.0,2,Core Relationship Employers
EMCOR Facilities Services,22,15.409090909090908,9,3,5,3,0.0,0,Strategic High-Volume Partners
EMCOR Group,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
EMCOR Mesa Energy Systems,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
EMI Research Solutions,3,14.0,1,1,2,2,0.0,2,Core Relationship Employers
ERA Real Solutions Realty,3,14.0,2,1,3,2,0.0,2,Core Relationship Employers
ERIEBANK,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
ES Properties,7,12.571428571428571,2,1,3,3,0.0,2,Core Relationship Employers
EST Analytical,2,15.0,1,1,2,2,0.0,2,Core Relationship Employers
EVEREVE,1,17.3,1,1,1,1,0.0,1,Low-Engagement Employers
EVERTRUST,1,3.75,1,1,1,1,0.0,1,Low-Engagement Employers
EXPR,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
EY,50,23.5306,12,3,7,3,0.0,0,Strategic High-Volume Partners
EY LLP,22,23.027272727272727,3,1,5,3,0.0,2,Core Relationship Employers
EY-Parthenon,2,20.0,2,1,2,1,0.0,1,Low-Engagement Employers
Eagle Concrete Construction LLC of Ohio,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eagle Real Estate Group,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eagle Realty,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eagle Realty Group,5,17.8,1,1,4,2,0.0,2,Core Relationship Employers
Eagles Composite,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eastside auto spa,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Easy Way Products Co,5,18.0,2,1,2,3,0.0,2,Core Relationship Employers
EasyWay Products,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Easyfind Company,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eaton,2,12.15,1,1,2,1,0.0,1,Low-Engagement Employers
EcoDevelopment,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
Ecolab,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Economic and Community DEvelopment Institute,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Economic and Community Development Institute,2,15.0,1,1,1,2,0.0,1,Low-Engagement Employers
Ecquitas Private Limited,1,22.5,1,1,1,1,0.0,1,Low-Engagement Employers
Edge Real Estate Group,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Education at Work,17,11.83235294117647,6,1,5,3,0.0,2,Core Relationship Employers
Eduvantis LLC,2,21.5,1,1,1,2,0.0,1,Low-Engagement Employers
Edward Jones Investments,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Edwards Lifesciences,2,24.5,1,1,2,1,0.0,1,Low-Engagement Employers
Eisert Wealth Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Electrada LLC,2,15.0,2,1,1,2,0.0,1,Low-Engagement Employers
Electronauts LLC,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Electronic Arts,1,26.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eleeo Brands LLC,12,17.25,5,2,6,3,0.0,0,Strategic High-Volume Partners
Elevance Health,1,19.46,1,1,1,1,0.0,1,Low-Engagement Employers
"Elevance Health (formerly Anthem, Inc.)",7,17.142857142857142,4,1,4,2,0.0,2,Core Relationship Employers
Eli Lilly,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Eli Lilly and Company,4,19.445,2,1,3,2,0.0,2,Core Relationship Employers
Embellished Occasions LLC,1,50.0,1,1,1,1,0.0,1,Low-Engagement Employers
Emen,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Emerald Capital Partners,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Emerson,23,18.875652173913043,6,2,4,3,0.0,0,Strategic High-Volume Partners
Emerson Climate Technologies,6,16.916666666666668,4,1,3,2,0.0,2,Core Relationship Employers
Emerson Commercial and Residential Solutions,1,17.8,1,1,1,1,0.0,1,Low-Engagement Employers
Emerson Electric Co,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Emerson Global,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
Emerson Technologies,1,17.5,1,1,1,1,0.0,1,Low-Engagement Employers
Emerson- Commercial & Residential Solutions,1,17.5,1,1,1,1,0.0,1,Low-Engagement Employers
Emery Federal Credit Union,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Emory Healthcare,1,20.43,1,1,1,1,0.0,1,Low-Engagement Employers
Emory Healthcare Winship Cancer Institute,1,18.43,1,1,1,1,0.0,1,Low-Engagement Employers
Emory University,2,13.75,1,1,2,1,0.0,1,Low-Engagement Employers
Empire Marketing Strategies,8,16.4875,3,1,5,2,0.0,2,Core Relationship Employers
Empower,7,19.857142857142858,3,3,2,3,0.0,0,Strategic High-Volume Partners
Empowered Acquisitions,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Encore Funding,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Encore Label & Packaging,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Encore Land and Sea,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Encore Talent Solutions,2,15.4,1,1,1,2,0.0,1,Low-Engagement Employers
Encore Technologies,2,15.5,2,2,2,1,0.0,1,Low-Engagement Employers
Encova Insurance,2,17.25,2,1,2,1,0.0,1,Low-Engagement Employers
Enerfab,19,15.947368421052632,8,1,6,3,0.0,0,Strategic High-Volume Partners
Enervise,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Enervise LLC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Engine Insights,2,18.0,1,1,2,2,0.0,2,Core Relationship Employers
Enrollment Management Services,2,11.5,1,1,1,2,0.0,1,Low-Engagement Employers
Ensemble Health Partners,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ensign-Bickford Aerospace and Defense,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Enterprise Holdings,1,17.3,1,1,1,1,0.0,1,Low-Engagement Employers
Enterprise Risk Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Entervise,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Equitable Advisors,4,13.75,1,1,2,2,0.0,2,Core Relationship Employers
Equity 360,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Erie Insurance Group,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ernst & Young,14,17.59714285714286,3,1,5,3,0.0,2,Core Relationship Employers
Ernst & Young LLP,1,6.83,1,1,1,1,0.0,1,Low-Engagement Employers
Ernst & Young LLP (EY),4,18.055,3,1,1,2,0.0,2,Core Relationship Employers
Ernst & Young LLP - EY,4,15.125,2,2,1,2,0.0,2,Core Relationship Employers
"Ernst & Young, LLP",1,22.5,1,1,1,1,0.0,1,Low-Engagement Employers
Ernst and Young,10,21.407,3,2,5,3,0.0,0,Strategic High-Volume Partners
Essent Guaranty,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
EssilorLuxottica,13,17.56153846153846,5,1,4,3,0.0,2,Core Relationship Employers
EssilorLuxottica - EyeMed,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Etegent Technologies,3,20.25,2,1,1,3,0.0,2,Core Relationship Employers
European Innovation Academy,10,14.3,6,2,2,1,0.0,2,Core Relationship Employers
Eurostampa North America,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Evercore,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Evergreen Advisors, Inc",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Everything But The House,4,15.0,2,1,3,3,0.0,2,Core Relationship Employers
Evil Geniuses,3,13.0,1,1,2,3,0.0,2,Core Relationship Employers
Evolution Parking & Guest Services,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Exces International,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Executive Jet Management,3,18.0,2,1,3,2,0.0,2,Core Relationship Employers
Executive Office of the President,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Express,3,19.266666666666666,3,1,3,1,0.0,1,Low-Engagement Employers
EyeMed,15,16.2,5,1,5,3,0.0,2,Core Relationship Employers
EyeMed Vision Care,4,17.0,2,1,3,1,0.0,1,Low-Engagement Employers
"F&M MAFCO, Inc",2,13.5,2,1,2,1,0.0,1,Low-Engagement Employers
F. L. Emmert Company,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
F.L. Emmert Company,2,17.0,1,1,2,2,0.0,2,Core Relationship Employers
FC Cincinnati,13,12.692307692307692,5,2,6,3,0.0,0,Strategic High-Volume Partners
FDIC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
FEG,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
FF&S,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
FFE Inc,1,28.0,1,1,1,1,0.0,1,Low-Engagement Employers
FICO,1,36.0,1,1,1,1,0.0,1,Low-Engagement Employers
FIS,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
FIT Financial,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
FLHB,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
FM,2,16.25,1,2,1,2,0.0,2,Core Relationship Employers
FM Global,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
FORVIS,5,25.4,3,1,1,2,0.0,2,Core Relationship Employers
"FORVIS, LLP",4,23.0,3,1,1,2,0.0,2,Core Relationship Employers
FOX Sports Cincinnati,3,17.333333333333332,1,1,2,2,0.0,2,Core Relationship Employers
FPT IS,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
FPT Software,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
"FRCH Design Worldwide, a NELSON Company",1,15.5,1,1,1,1,0.0,1,Low-Engagement Employers
FRCH Nelson,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
FREDONIA - Disney College Program - Student Representative,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
FTI Consulting,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Facebook,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fairbanks Morse Defense,1,20.25,1,1,1,1,0.0,1,Low-Engagement Employers
Fairborn Equipment Midwest,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Faith Community Pharmacy, Inc",1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Family Choice Surrogacy,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Family Wealth Advisory Group, LLC",1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
FanGate Solutions,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fastenal,3,16.0,2,1,3,3,0.0,2,Core Relationship Employers
Fastenal Company,12,15.791666666666666,6,1,3,3,0.0,2,Core Relationship Employers
Fasto Real Estate Solutions,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Faurecia,1,20.5,1,1,1,1,0.0,1,Low-Engagement Employers
Faurecia North America,3,19.333333333333332,2,1,2,2,0.0,2,Core Relationship Employers
FedEx Freight,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fedders Construction,3,15.0,1,1,2,2,0.0,2,Core Relationship Employers
Federal Eagle,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Federal Home Loan Bank of Cincinnati,3,16.333333333333332,3,1,2,1,0.0,1,Low-Engagement Employers
Federal Home loan bank of Cincinnati,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
Federal Reserve Bank of Cleveland,2,19.625,1,1,2,1,0.0,1,Low-Engagement Employers
Federal Reserve Bank of Dallas,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Federal Reserve Bank of New York,1,30.0,1,1,1,1,0.0,1,Low-Engagement Employers
Federal Reserve Bank of Richmond,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
Feldkamp Marketing,1,27.73,1,1,1,1,0.0,1,Low-Engagement Employers
Feminist Majority Foundation,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ferguson Construction Company,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Ferno-Washington, Inc",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Festo,5,16.4,1,1,2,3,0.0,2,Core Relationship Employers
Festo Corporation,13,23.563846153846153,5,2,3,3,0.0,0,Strategic High-Volume Partners
Fidant Wealth Partners,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fidant Wealth Partners of Ameriprise Financial,14,15.285714285714286,6,2,5,3,0.0,0,Strategic High-Volume Partners
Fidelity,5,42.4,2,1,3,3,0.0,2,Core Relationship Employers
Fidelity Investments,50,18.8632,13,2,6,3,0.0,0,Strategic High-Volume Partners
Field Aerospace,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fifth Third,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fifth Third Bank,124,22.543225806451613,15,2,7,3,0.0,0,Strategic High-Volume Partners
Figure 8,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fillpoint Health,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Fin Pan, Inc",1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Finix Payments,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Finix Payments, Inc",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Fireside Business Solutions, Inc",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Firestone Country Club,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
"First Federal Community Bank (Bucyrus, OH)",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
First Financial Bank,41,17.46439024390244,8,3,7,3,0.0,0,Strategic High-Volume Partners
First Group,2,15.5,1,1,1,1,0.0,1,Low-Engagement Employers
First Group America- Transportation,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
First Light Home Care,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
First Merchants Bank,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
First Mutual Holding Co,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
First Mutual Holding Company,3,15.666666666666666,2,1,2,2,0.0,2,Core Relationship Employers
First National Bank,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
First Responder Financial Advisors,2,17.0,1,1,2,1,0.0,1,Low-Engagement Employers
First Star Logistics,4,15.75,1,2,3,2,0.0,2,Core Relationship Employers
First State Bank,3,16.53,2,3,3,1,0.0,0,Strategic High-Volume Partners
First Student,8,15.875,3,1,3,3,0.0,2,Core Relationship Employers
FirstGroup,4,16.25,3,1,2,2,0.0,2,Core Relationship Employers
Fischer Homes,59,17.940677966101696,14,3,7,3,0.0,0,Strategic High-Volume Partners
Fit4Kidz,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fitch Group,1,30.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fives North American Combustion Inc,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Flag football fanatics,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Flagel Huber Flagel,15,22.133333333333333,6,1,4,2,0.0,2,Core Relationship Employers
Fleet Feet Inc,1,11.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fleet Response,2,14.5,2,1,2,1,0.0,1,Low-Engagement Employers
Flipside Products,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Florence Y'alls,7,11.0,3,1,3,1,0.0,1,Low-Engagement Employers
Flow Dry Technology,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fluor-BWXT Portsmouth LLC,1,18.27,1,1,1,1,0.0,1,Low-Engagement Employers
Flynn & Company,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Flynn & Company CPA,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Flynn & Company, Inc. CPAs & Business Consultants",65,20.953846153846154,7,2,5,3,0.0,0,Strategic High-Volume Partners
Flynn and Company,2,17.0,2,1,1,2,0.0,1,Low-Engagement Employers
Flywheel Social Enterprise Hub,3,11.626666666666667,2,1,3,2,0.0,2,Core Relationship Employers
Folk Williams Financial Management,2,20.59,1,1,2,1,0.0,1,Low-Engagement Employers
Fontaine Trailer,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ford,1,20.77,1,1,1,1,0.0,1,Low-Engagement Employers
Ford Motor Credit Company,1,20.77,1,1,1,1,0.0,1,Low-Engagement Employers
Formica,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Formica Corporation,2,18.0,1,1,1,2,0.0,1,Low-Engagement Employers
Formidable Asset Management,2,19.0,1,2,2,1,0.0,1,Low-Engagement Employers
Fort Washington Investment Advisors,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fort Wayne Metals,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fortner Inc,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Forvia Faurecia,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Forvis Mazars,3,24.666666666666668,2,1,2,1,0.0,1,Low-Engagement Employers
ForvisMazars,1,28.0,1,1,1,1,0.0,1,Low-Engagement Employers
Forward Edge,20,15.05,2,1,6,3,0.0,2,Core Relationship Employers
Foster & Motley Inc,4,17.5,2,1,1,2,0.0,1,Low-Engagement Employers
Foster and Motley Inc,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
Foundation Software,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Four Facets,3,22.333333333333332,2,2,2,2,0.0,2,Core Relationship Employers
Four Seasons Swim Club,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Foxy Moron,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Frame USA,1,11.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fran Hauser,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Freddie Mac,1,21.0,1,1,1,1,0.0,1,Low-Engagement Employers
Freedom Solar Pros,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fresh Encounter Inc,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Fresh Prints,2,18.5,1,1,2,2,0.0,2,Core Relationship Employers
Friends of Music Hall,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
FriesLandCampina VietNam,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Frisch's,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Frisch's Restaurants, Inc",1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
From Fatherless to Fearless,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Front Runner Sports,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Frontgate,2,14.15,2,1,1,1,0.0,1,Low-Engagement Employers
Fund Evaluation Group LLC,32,16.46875,5,2,7,3,0.0,0,Strategic High-Volume Partners
"Fund That Flip, Inc",1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Funky's Catering Events,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
G & W Products,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
G.E. Schmidt,2,15.0,1,1,2,2,0.0,2,Core Relationship Employers
G3 Marketing and ProCamps,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
GANNETT | USA TODAY NETWORK,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
GBQ,4,38.05,2,1,4,1,0.0,2,Core Relationship Employers
GBQ Partners,48,24.666666666666668,4,2,6,3,0.0,0,Strategic High-Volume Partners
GE,5,21.85,3,1,2,2,0.0,2,Core Relationship Employers
GE A,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
GE Aerospace,38,20.952894736842108,13,2,4,3,0.0,0,Strategic High-Volume Partners
GE Appliances,55,19.522727272727273,12,2,7,3,0.0,0,Strategic High-Volume Partners
GE Aviation,84,21.69702380952381,16,2,5,4,0.0,0,Strategic High-Volume Partners
GE Healthcare,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
GEA,1,20.5,1,1,1,1,0.0,1,Low-Engagement Employers
GEICO,1,16.04,1,1,1,1,0.0,1,Low-Engagement Employers
GMI,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
GMI Corporation,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
GMS,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
GMi Companies,3,18.0,2,1,3,2,0.0,2,Core Relationship Employers
GNC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
GOFOS,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"GPB Capital Holdings, LLC",2,5.0,1,1,1,2,0.0,1,Low-Engagement Employers
GSM Vietnam - Vingroup JSC,1,8.75,1,1,1,1,0.0,1,Low-Engagement Employers
GXO Logistics,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Gaiser Bee Company,2,13.0,1,1,1,2,0.0,1,Low-Engagement Employers
Galerie Candy & Gifting,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Gallagher,2,18.5,1,1,2,1,0.0,1,Low-Engagement Employers
Galois Capital Management LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Garden Path Landscaping LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Gardner Street Commercial Real Estate Group,3,14.5,1,1,2,2,0.0,2,Core Relationship Employers
Garnet Hill Lodge,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Gartner,9,14.333333333333334,2,2,3,3,0.0,2,Core Relationship Employers
Gartner inc,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Gaslight Property,2,17.0,2,1,2,2,0.0,2,Core Relationship Employers
GatePass Capital,1,20.59,1,1,1,1,0.0,1,Low-Engagement Employers
Gearsupply LLC,2,17.5,2,2,1,1,0.0,1,Low-Engagement Employers
